"","Estimate","Std. Error","Lower","Upper"
"model_csa_6.e:1:0.6",103.907937365102,23.6059686050409,56.4188539565083,151.397020773695
"model_csa_7.e:1:0.2",70.0604335545875,1.22009916435316,67.6014852611442,72.5193818480308
"model_csa_7.e:1:0.3",73.39327313644,1.46878935272555,70.4331227012687,76.3534235716113
"model_csa_7.e:1:0.4",76.7948343208938,1.99199794128246,72.7802262616744,80.8094423801132
"model_csa_7.e:1:0.5",80.6446227735574,2.75101947392173,75.1003073291522,86.1889382179626
"model_csa_7.e:1:0.6",85.4890602488666,3.83868885448033,77.7526912031682,93.2254292945649
"model_csa_8.e:1:0.2",71.3218943935165,1.19794513811795,68.9025951067463,73.7411936802868
"model_csa_8.e:1:0.3",72.5640609890213,1.00120848207259,70.5420794395222,74.5860425385203
"model_csa_8.e:1:0.4",73.6758280207061,0.938163592452449,71.7811682087719,75.5704878326403
"model_csa_8.e:1:0.5",74.7904596594702,1.01058782756245,72.7495361374785,76.8313831814619
"model_csa_8.e:1:0.6",76.1101578705857,1.2434601875993,73.5989390766162,78.6213766645552
"model_csa_9.e:1:0.2",65.9273031727339,1.82935034617352,62.2328551993454,69.6217511461224
"model_csa_9.e:1:0.3",70.1312435554659,2.6132054159119,64.8537681538525,75.4087189570793
"model_csa_9.e:1:0.4",74.4209069549623,3.971193393074,66.4009191961033,82.4408947138214
"model_csa_9.e:1:0.5",79.3503343470805,5.81802059210117,67.6006033944606,91.1000652997004
"model_csa_9.e:1:0.6",85.745526077516,8.4674627809778,68.6451380756438,102.845914079388
"model_csa_10.e:1:0.2",66.24818118851,1.51844081557726,63.1742584632097,69.3221039138103
"model_csa_10.e:1:0.3",68.4034956515399,1.34571345694468,65.6792411830033,71.1277501200766
"model_csa_10.e:1:0.4",70.4950416907871,1.78884567804585,66.873712940012,74.1163704415623
"model_csa_10.e:1:0.5",72.7839004751431,2.65095648680127,67.4173196344781,78.1504813158082
"model_csa_10.e:1:0.6",75.5801642385113,3.90906539969411,67.6666750570203,83.4936534200023
"model_csa_11.e:1:0.2",71.1725398360527,0.740553713758834,69.7003677769142,72.6447118951912
"model_csa_11.e:1:0.3",73.5179500366413,0.700174744043431,72.1260487126127,74.9098513606699
"model_csa_11.e:1:0.4",75.8363165117558,0.872999828364973,74.1008502909083,77.5717827326034
"model_csa_11.e:1:0.5",78.396913964791,1.21634917890999,75.978891825305,80.8149361042769
"model_csa_11.e:1:0.6",81.5431420848416,1.73722696459324,78.0896491779259,84.9966349917573
"model_cal_1.e:1:0.2",65.2696826269197,2.62744101207464,59.8959623860695,70.6434028677699
"model_cal_1.e:1:0.3",67.2157456066354,3.36033472684628,60.3430894158015,74.0884017974693
"model_cal_1.e:1:0.4",69.2190854872271,4.25495810867354,60.5167190373351,77.9214519371192
"model_cal_1.e:1:0.5",71.4221214171884,5.33770639056008,60.5052860862138,82.3389567481631
"model_cal_1.e:1:0.6",74.0141828622424,6.70044509793196,60.3102339324691,87.7181317920156
"model_cal_2.e:1:0.2",60.8227474096089,1.20921088003123,58.3596654487986,63.2858293704193
"model_cal_2.e:1:0.3",62.208386674543,0.982718059844524,60.2066554912253,64.2101178578608
"model_cal_2.e:1:0.4",63.498487611405,1.14816060663015,61.1597609881127,65.8372142346973
