species,pop,dormancy_release,Estimate,Std. Error,Lower,Upper
CAL,9,60,80.85856578,11.27660182,57.88887953,103.828252
CAL,10,20,63.71462102,3.239247441,57.13859911,70.29064293
CAL,10,30,67.10133279,4.687130151,57.58595271,76.61671287
CAL,10,40,70.92712824,6.747189728,57.22960488,84.6246516
CAL,10,50,75.79781426,9.700002976,56.10576131,95.4898672
CAL,10,60,83.23335481,14.65839675,53.47522736,112.9914823
CAL,11,20,59.70749088,1.993904002,55.67104326,63.74393851
CAL,11,30,62.05920117,2.014359209,57.98134414,66.1370582
CAL,11,40,64.87636094,2.883010373,59.04001157,70.71271031
CAL,11,50,70.2369855,5.560389225,58.980566,81.493405
CAL,11,60,#N/A,#N/A,#N/A,#N/A
CAL,12,20,65.97364158,1.183168202,63.57844277,68.36884038
CAL,12,30,67.33226149,1.860504416,63.56586721,71.09865577
CAL,12,40,69.02933622,3.354166406,62.23918132,75.81949112
CAL,12,50,71.70033042,6.014882874,59.52383663,83.8768242
CAL,12,60,88.58318375,25.4569488,37.04828518,140.1180823
CAL,13,20,64.78969345,1.228357043,62.29599608,67.28339082
CAL,13,30,65.56953805,1.694291799,62.12994283,69.00913326
CAL,13,40,66.44437545,3.427735314,59.48570282,73.40304809
CAL,13,50,#N/A,#N/A,#N/A,#N/A
CAL,13,60,#N/A,#N/A,#N/A,#N/A
CAL,14,20,65.04853701,1.688133172,61.62144448,68.47562955
CAL,14,30,67.35152247,1.803756337,63.68970243,71.01334251
CAL,14,40,70.24223949,3.313601793,63.51527022,76.96920876
CAL,14,50,#N/A,#N/A,#N/A,#N/A
CAL,14,60,#N/A,#N/A,#N/A,#N/A
CAL,15,20,66.47876236,1.511080204,63.43338031,69.5241444
CAL,15,30,68.74956335,1.305194634,66.11911641,71.3800103
CAL,15,40,70.73078395,1.21402692,68.28407346,73.17749444
CAL,15,50,72.65995167,1.233795766,70.17339969,75.14650365
CAL,15,60,74.80601918,1.385358618,72.01401234,77.59802602
CAL,16,20,65.60215975,0.739121615,64.09048631,67.11383319
CAL,16,30,66.36513427,1.009418492,64.30064165,68.42962689
CAL,16,40,67.24960607,1.443350127,64.2976236,70.20158853
CAL,16,50,68.41409021,2.089100178,64.1414006,72.68677982
CAL,16,60,70.37678441,3.255253398,63.71904366,77.03452515
CAL,17,20,68.26467247,2.80072833,62.57889168,73.95045326
CAL,17,30,71.03020746,3.746483113,63.42444239,78.63597253
CAL,17,40,74.1037122,4.987350042,63.97885334,84.22857106
CAL,17,50,77.86939969,6.666289323,64.33611288,91.4026865
CAL,17,60,83.16092099,9.221739568,64.43979438,101.8820476
CAL,18,20,66.04849251,5.120414776,55.65349788,76.44348714
CAL,18,30,66.66669363,8.110590492,50.20131957,83.13206769
CAL,18,40,#N/A,#N/A,#N/A,#N/A
CAL,18,50,#N/A,#N/A,#N/A,#N/A
CAL,18,60,#N/A,#N/A,#N/A,#N/A
CAL,19,20,65.02103798,0.873822456,63.24111988,66.80095607
CAL,19,30,65.95512639,0.82524907,64.27414904,67.63610374
CAL,19,40,66.70824146,1.009369365,64.65222334,68.76425957
CAL,19,50,67.4326055,1.302538698,64.77942099,70.08579
CAL,19,60,68.32417953,1.738428058,64.78311745,71.86524161
CAL,20,20,62.27504853,1.73953652,58.74360165,65.80649541
CAL,20,30,65.20295272,1.878899435,61.38858408,69.01732136
CAL,20,40,68.08412938,2.450753474,63.10883532,73.05942344
CAL,20,50,71.32267118,3.381541879,64.45777621,78.18756616
CAL,20,60,75.4597113,4.791609182,65.73222751,85.18719509
