species,pop,province,location,old_pop,lat,long,seed_mass,elevation,BIO_01,BIO_05,BIO_12,aridity_index,annual_burnedarea_ha,annual_number_fires,burned_area_percent,dormancy_release,Estimate,Std..Error,Lower,Upper
CAL,13,Castellon,Valivana,23,40.564859,0.124883,1.18,613,134,265,495,0.539757411,187.9047619,1.857142857,0.598194199,30,65.56953805,1.694291799,62.12994283,69.00913326
CAL,13,Castellon,Valivana,23,40.564859,0.124883,1.18,613,134,265,495,0.539757411,187.9047619,1.857142857,0.598194199,40,66.44437545,3.427735314,59.48570282,73.40304809
CAL,14,Castellon,Bel,22,40.601833,0.180121,1.181,456,135,266,491,0.534931658,193.047619,2.142857143,0.614566468,20,65.04853701,1.688133172,61.62144448,68.47562955
CAL,14,Castellon,Bel,22,40.601833,0.180121,1.181,456,135,266,491,0.534931658,193.047619,2.142857143,0.614566468,30,67.35152247,1.803756337,63.68970243,71.01334251
CAL,14,Castellon,Bel,22,40.601833,0.180121,1.181,456,135,266,491,0.534931658,193.047619,2.142857143,0.614566468,40,70.24223949,3.313601793,63.51527022,76.96920876
CAL,15,Tarragona,Tivissa II,20,41.002028,0.671214,1.173,148,162,295,574,0.577738281,267.6206897,0.724137931,0.851969597,20,66.47876236,1.511080204,63.43338031,69.5241444
CAL,15,Tarragona,Tivissa II,20,41.002028,0.671214,1.173,148,162,295,574,0.577738281,267.6206897,0.724137931,0.851969597,30,68.74956335,1.305194634,66.11911641,71.3800103
CAL,15,Tarragona,Tivissa II,20,41.002028,0.671214,1.173,148,162,295,574,0.577738281,267.6206897,0.724137931,0.851969597,40,70.73078395,1.21402692,68.28407346,73.17749444
CAL,15,Tarragona,Tivissa II,20,41.002028,0.671214,1.173,148,162,295,574,0.577738281,267.6206897,0.724137931,0.851969597,50,72.65995167,1.233795766,70.17339969,75.14650365
CAL,15,Tarragona,Tivissa II,20,41.002028,0.671214,1.173,148,162,295,574,0.577738281,267.6206897,0.724137931,0.851969597,60,74.80601918,1.385358618,72.01401234,77.59802602
CAL,16,Tarragona,Ginestar,6,41.012918,0.686946,1.292,269,155,288,606,0.621785443,199.9655172,0.655172414,0.636589575,20,65.60215975,0.739121615,64.09048631,67.11383319
CAL,16,Tarragona,Ginestar,6,41.012918,0.686946,1.292,269,155,288,606,0.621785443,199.9655172,0.655172414,0.636589575,30,66.36513427,1.009418492,64.30064165,68.42962689
CAL,16,Tarragona,Ginestar,6,41.012918,0.686946,1.292,269,155,288,606,0.621785443,199.9655172,0.655172414,0.636589575,40,67.24960607,1.443350127,64.2976236,70.20158853
CAL,16,Tarragona,Ginestar,6,41.012918,0.686946,1.292,269,155,288,606,0.621785443,199.9655172,0.655172414,0.636589575,50,68.41409021,2.089100178,64.1414006,72.68677982
CAL,16,Tarragona,Ginestar,6,41.012918,0.686946,1.292,269,155,288,606,0.621785443,199.9655172,0.655172414,0.636589575,60,70.37678441,3.255253398,63.71904366,77.03452515
CAL,17,Tarragona,Tivissa II,7,41.025345,0.709221,1.145,385,144,276,667,0.706999644,153.3103448,0.551724138,0.488062985,20,68.26467247,2.80072833,62.57889168,73.95045326
CAL,17,Tarragona,Tivissa II,7,41.025345,0.709221,1.145,385,144,276,667,0.706999644,153.3103448,0.551724138,0.488062985,30,71.03020746,3.746483113,63.42444239,78.63597253
CAL,17,Tarragona,Tivissa II,7,41.025345,0.709221,1.145,385,144,276,667,0.706999644,153.3103448,0.551724138,0.488062985,40,74.1037122,4.987350042,63.97885334,84.22857106
CAL,17,Tarragona,Tivissa II,7,41.025345,0.709221,1.145,385,144,276,667,0.706999644,153.3103448,0.551724138,0.488062985,50,77.86939969,6.666289323,64.33611288,91.4026865
CAL,17,Tarragona,Tivissa II,7,41.025345,0.709221,1.145,385,144,276,667,0.706999644,153.3103448,0.551724138,0.488062985,60,83.16092099,9.221739568,64.43979438,101.8820476
CAL,18,Barcelona,Canyelles III,8,41.262878,1.687627,1.112,261,156,279,660,0.743319844,87.51724138,1.103448276,0.319452626,20,66.04849251,5.120414776,55.65349788,76.44348714
CAL,18,Barcelona,Canyelles III,8,41.262878,1.687627,1.112,261,156,279,660,0.743319844,87.51724138,1.103448276,0.319452626,30,66.66669363,8.110590492,50.20131957,83.13206769
CAL,19,Barcelona,Garraf I,10,41.283547,1.903944,1.254,393,138,254,799,1.009968453,190.1724138,1.068965517,0.837800845,20,65.02103798,0.873822456,63.24111988,66.80095607
CAL,19,Barcelona,Garraf I,10,41.283547,1.903944,1.254,393,138,254,799,1.009968453,190.1724138,1.068965517,0.837800845,30,65.95512639,0.82524907,64.27414904,67.63610374
CAL,19,Barcelona,Garraf I,10,41.283547,1.903944,1.254,393,138,254,799,1.009968453,190.1724138,1.068965517,0.837800845,40,66.70824146,1.009369365,64.65222334,68.76425957
CAL,19,Barcelona,Garraf I,10,41.283547,1.903944,1.254,393,138,254,799,1.009968453,190.1724138,1.068965517,0.837800845,50,67.4326055,1.302538698,64.77942099,70.08579
CAL,19,Barcelona,Garraf I,10,41.283547,1.903944,1.254,393,138,254,799,1.009968453,190.1724138,1.068965517,0.837800845,60,68.32417953,1.738428058,64.78311745,71.86524161
CAL,2,Almeria,Alhamilla II,11,37.032905,-2.24709,0.947,699,139,259,345,0.380019002,71.63414634,0.707317073,0.228047072,20,60.82294671,1.209158752,58.35997093,63.28592249
CAL,2,Almeria,Alhamilla II,11,37.032905,-2.24709,0.947,699,139,259,345,0.380019002,71.63414634,0.707317073,0.228047072,30,62.20830981,0.982593005,60.20683336,64.20978627
CAL,2,Almeria,Alhamilla II,11,37.032905,-2.24709,0.947,699,139,259,345,0.380019002,71.63414634,0.707317073,0.228047072,40,63.49811562,1.14789876,61.15992236,65.83630888
CAL,2,Almeria,Alhamilla II,11,37.032905,-2.24709,0.947,699,139,259,345,0.380019002,71.63414634,0.707317073,0.228047072,50,64.84921762,1.607338135,61.57517698,68.12325827
CAL,2,Almeria,Alhamilla II,11,37.032905,-2.24709,0.947,699,139,259,345,0.380019002,71.63414634,0.707317073,0.228047072,60,66.40401711,2.2907578,61.73789616,71.07013805
CAL,20,Barcelona,Garraf III,9,41.369979,1.950343,1.071,282,147,266,653,0.787944113,77.51724138,1.034482759,0.246775886,20,62.27504853,1.73953652,58.74360165,65.80649541
CAL,20,Barcelona,Garraf III,9,41.369979,1.950343,1.071,282,147,266,653,0.787944113,77.51724138,1.034482759,0.246775886,30,65.20295272,1.878899435,61.38858408,69.01732136
CAL,20,Barcelona,Garraf III,9,41.369979,1.950343,1.071,282,147,266,653,0.787944113,77.51724138,1.034482759,0.246775886,40,68.08412938,2.450753474,63.10883532,73.05942344
CAL,20,Barcelona,Garraf III,9,41.369979,1.950343,1.071,282,147,266,653,0.787944113,77.51724138,1.034482759,0.246775886,50,71.32267118,3.381541879,64.45777621,78.18756616
CAL,20,Barcelona,Garraf III,9,41.369979,1.950343,1.071,282,147,266,653,0.787944113,77.51724138,1.034482759,0.246775886,60,75.4597113,4.791609182,65.73222751,85.18719509
CAL,3,Almeria,Turre,2,37.08721,-1.933791,0.849,399,142,254,344,0.403199316,330.2195122,3.024390244,1.153242691,20,64.78847121,1.899167682,60.94380723,68.63313518
CAL,3,Almeria,Turre,2,37.08721,-1.933791,0.849,399,142,254,344,0.403199316,330.2195122,3.024390244,1.153242691,30,67.88470835,1.486731484,64.87497781,70.89443889
CAL,3,Almeria,Turre,2,37.08721,-1.933791,0.849,399,142,254,344,0.403199316,330.2195122,3.024390244,1.153242691,40,70.49925586,1.387847819,67.68970484,73.30880689
CAL,3,Almeria,Turre,2,37.08721,-1.933791,0.849,399,142,254,344,0.403199316,330.2195122,3.024390244,1.153242691,50,73.04442573,1.594052758,69.81743463,76.27141683
CAL,3,Almeria,Turre,2,37.08721,-1.933791,0.849,399,142,254,344,0.403199316,330.2195122,3.024390244,1.153242691,60,76.0066151,2.119003442,71.7169169,80.2963133
CAL,4,Alicante,Cabeco d'or,4,38.516764,-0.41339,1.027,551,152,263,451,0.519896393,38.38095238,1.666666667,0.124718764,20,66.23122429,23.51733144,18.32798774,114.1344608
CAL,4,Alicante,Cabeco d'or,4,38.516764,-0.41339,1.027,551,152,263,451,0.519896393,38.38095238,1.666666667,0.124718764,30,70.25500333,29.95306264,9.242611306,131.2673954
CAL,4,Alicante,Cabeco d'or,4,38.516764,-0.41339,1.027,551,152,263,451,0.519896393,38.38095238,1.666666667,0.124718764,40,73.80649482,35.89908969,0.682442018,146.9305476
CAL,4,Alicante,Cabeco d'or,4,38.516764,-0.41339,1.027,551,152,263,451,0.519896393,38.38095238,1.666666667,0.124718764,50,77.11231444,41.63874391,-7.703031423,161.9276603
CAL,4,Alicante,Cabeco d'or,4,38.516764,-0.41339,1.027,551,152,263,451,0.519896393,38.38095238,1.666666667,0.124718764,60,80.28928079,47.32920517,-16.11715535,176.6957169
CAL,5,Alicante,Sierra bernia,21,38.675257,-0.036586,0.876,620,146,239,610,0.949826991,135.1904762,7.095238095,0.481413276,20,61.69255616,1.615398645,58.42235257,64.96275975
CAL,5,Alicante,Sierra bernia,21,38.675257,-0.036586,0.876,620,146,239,610,0.949826991,135.1904762,7.095238095,0.481413276,30,63.56530792,1.189133811,61.15803237,65.97258346
CAL,5,Alicante,Sierra bernia,21,38.675257,-0.036586,0.876,620,146,239,610,0.949826991,135.1904762,7.095238095,0.481413276,40,65.21541594,1.143968139,62.89957351,67.53125836
CAL,5,Alicante,Sierra bernia,21,38.675257,-0.036586,0.876,620,146,239,610,0.949826991,135.1904762,7.095238095,0.481413276,50,67.04033807,1.522114316,63.95897873,70.12169741
CAL,5,Alicante,Sierra bernia,21,38.675257,-0.036586,0.876,620,146,239,610,0.949826991,135.1904762,7.095238095,0.481413276,60,69.79177024,2.505417289,64.71981811,74.86372238
CAL,6,Alicante,Barranc d'almadig,19,38.735584,-0.119168,1.114,563,148,246,661,0.94447048,132.2380952,5.80952381,0.420979547,20,57.98361377,2.352876396,53.20702075,62.76020679
CAL,6,Alicante,Barranc d'almadig,19,38.735584,-0.119168,1.114,563,148,246,661,0.94447048,132.2380952,5.80952381,0.420979547,30,61.10835235,1.537619973,57.98681785,64.22988684
CAL,6,Alicante,Barranc d'almadig,19,38.735584,-0.119168,1.114,563,148,246,661,0.94447048,132.2380952,5.80952381,0.420979547,40,63.12688225,1.202786572,60.68509569,65.56866881
CAL,6,Alicante,Barranc d'almadig,19,38.735584,-0.119168,1.114,563,148,246,661,0.94447048,132.2380952,5.80952381,0.420979547,50,64.94873955,1.216744303,62.47861729,67.41886181
CAL,6,Alicante,Barranc d'almadig,19,38.735584,-0.119168,1.114,563,148,246,661,0.94447048,132.2380952,5.80952381,0.420979547,60,66.97572645,1.603605057,63.72023511,70.23121779
CAL,7,Valencia,Carcaixent,16,39.107848,-0.414571,1.009,201,171,289,735,0.775020031,399.7777778,9.277777778,1.272691257,20,67.16056672,3.304443884,60.4296348,73.89149865
CAL,7,Valencia,Carcaixent,16,39.107848,-0.414571,1.009,201,171,289,735,0.775020031,399.7777778,9.277777778,1.272691257,30,69.89637804,4.470459482,60.79035006,79.00240602
CAL,7,Valencia,Carcaixent,16,39.107848,-0.414571,1.009,201,171,289,735,0.775020031,399.7777778,9.277777778,1.272691257,40,72.52295946,5.700558876,60.91130101,84.13461791
CAL,7,Valencia,Carcaixent,16,39.107848,-0.414571,1.009,201,171,289,735,0.775020031,399.7777778,9.277777778,1.272691257,50,75.17636164,7.018269146,60.8806152,89.47210807
CAL,7,Valencia,Carcaixent,16,39.107848,-0.414571,1.009,201,171,289,735,0.775020031,399.7777778,9.277777778,1.272691257,60,77.96204999,8.465519591,60.71835087,95.20574912
