species,population,heat_treatment,replicate,total_seeds,germinated_seeds,empty_seeds
CSA,4,50,II,25,2,
CSA,4,50,III,25,1,
CSA,4,55,I,25,4,
CSA,4,55,II,25,1,
CSA,4,55,III,25,1,
CSA,4,60,I,25,2,
CSA,4,60,II,25,0,
CSA,4,60,III,25,0,
CSA,4,65,I,25,4,
CSA,4,65,II,25,1,
CSA,4,65,III,25,0,
CSA,4,70,I,25,3,
CSA,4,70,II,25,11,
CSA,4,70,III,25,7,
CSA,4,75,I,25,12,
CSA,4,75,II,25,12,
CSA,4,75,III,25,5,
CSA,4,80,I,25,14,
CSA,4,80,II,25,15,
CSA,4,80,III,25,17,
CSA,4,85,I,25,18,
CSA,4,85,II,25,7,
CSA,4,85,III,25,11,
CSA,4,90,I,25,14,
CSA,4,90,II,25,14,
CSA,4,90,III,25,21,
CSA,4,95,I,25,15,
CSA,4,95,II,25,18,
CSA,4,95,III,25,22,
CSA,4,100,I,25,21,
CSA,4,100,II,25,16,
CSA,4,100,III,25,11,
CSA,4,105,I,25,17,
CSA,4,105,II,25,17,
CSA,4,105,III,25,6,
CSA,4,110,I,25,15,
CSA,4,110,II,25,10,
CSA,4,110,III,25,15,
CSA,4,115,I,25,16,
CSA,4,115,II,25,14,
CSA,4,115,III,25,7,
CSA,4,120,I,25,6,
CSA,4,120,II,25,5,
CSA,4,120,III,25,4,
CSA,5,30,I,25,2,
CSA,5,30,II,25,2,
CSA,5,30,III,25,1,
CSA,5,35,I,25,4,
CSA,5,35,II,25,1,
CSA,5,35,III,25,1,
CSA,5,40,I,25,1,
CSA,5,40,II,25,4,
CSA,5,40,III,25,2,
CSA,5,45,I,25,1,
CSA,5,45,II,25,2,
CSA,5,45,III,25,3,
CSA,5,50,I,25,2,
CSA,5,50,II,25,2,
CSA,5,50,III,25,0,
CSA,5,55,I,25,2,
CSA,5,55,II,25,2,
CSA,5,55,III,25,2,
CSA,5,60,I,25,2,
CSA,5,60,II,25,2,
CSA,5,60,III,25,6,
CSA,5,65,I,25,3,
CSA,5,65,II,25,1,
CSA,5,65,III,25,2,
CSA,5,70,I,25,6,
CSA,5,70,II,25,7,
CSA,5,70,III,25,9,
CSA,5,75,I,25,16,
CSA,5,75,II,25,15,
CSA,5,75,III,25,7,
CSA,5,80,I,25,15,
CSA,5,80,II,25,17,
CSA,5,80,III,25,4,
CSA,5,85,I,25,16,
CSA,5,85,II,25,16,
CSA,5,85,III,25,15,
CSA,5,90,I,25,20,
CSA,5,90,II,25,20,
CSA,5,90,III,25,10,
CSA,5,95,I,25,20,
CSA,5,95,II,25,21,
CSA,5,95,III,25,15,
CSA,5,100,I,25,21,
CSA,5,100,II,25,8,
CSA,5,100,III,25,13,
CSA,5,105,I,25,23,
CSA,5,105,II,25,17,
CSA,5,105,III,25,18,1
CSA,5,110,I,25,20,
CSA,5,110,II,25,9,
CSA,5,110,III,25,10,
CSA,5,115,I,25,12,
CSA,5,115,II,25,11,
CSA,5,115,III,25,14,
CSA,5,120,I,25,17,
CSA,5,120,II,25,10,
CSA,5,120,III,25,9,1
CSA,6,30,I,25,2,
CSA,6,30,II,25,2,
CSA,6,30,III,25,2,
CSA,6,35,I,25,1,
CSA,6,35,II,25,3,
CSA,6,35,III,25,2,
CSA,6,40,I,25,2,
CSA,6,40,II,25,0,
CSA,6,40,III,25,2,
CSA,6,45,I,25,3,
CSA,6,45,II,25,0,
CSA,6,45,III,25,1,
CSA,6,50,I,25,1,
CSA,6,50,II,25,5,
CSA,6,50,III,25,2,
CSA,6,55,I,25,3,
CSA,6,55,II,25,0,
CSA,6,55,III,25,1,
CSA,6,60,I,25,2,
CSA,6,60,II,25,4,
CSA,6,60,III,25,4,
CSA,6,65,I,25,1,
CSA,6,65,II,25,2,
CSA,6,65,III,25,3,
CSA,6,70,I,25,3,
CSA,6,70,II,25,8,
CSA,6,70,III,25,3,
CSA,6,75,I,25,11,
CSA,6,75,II,25,4,
CSA,6,75,III,25,5,
CSA,6,80,I,25,6,
CSA,6,80,II,25,20,
CSA,6,80,III,25,5,
CSA,6,85,I,25,10,
CSA,6,85,II,25,14,
CSA,6,85,III,25,12,
CSA,6,90,I,25,15,
CSA,6,90,II,24,8,
CSA,6,90,III,25,9,
CSA,6,95,I,25,16,
CSA,6,95,II,25,6,
CSA,6,95,III,25,16,1
CSA,6,100,I,25,12,
CSA,6,100,II,25,20,
CSA,6,100,III,25,17,
CSA,6,105,I,25,17,
CSA,6,105,II,25,12,
CSA,6,105,III,25,13,
CSA,6,110,I,25,19,
CSA,6,110,II,25,17,
CSA,6,110,III,25,19,
CSA,6,115,I,25,15,
CSA,6,115,II,25,7,
CSA,6,115,III,25,16,
CSA,6,120,I,25,15,
CSA,6,120,II,25,8,
CSA,6,120,III,25,7,
CSA,7,30,I,25,2,
CSA,7,30,II,25,3,
CSA,7,30,III,25,0,
CSA,7,35,I,25,4,
CSA,7,35,II,25,3,
CSA,7,35,III,25,1,
CSA,7,40,I,25,3,
CSA,7,40,II,25,2,
CSA,7,40,III,25,1,
CSA,7,45,I,25,2,
CSA,7,45,II,25,2,
CSA,7,45,III,25,1,
CSA,7,50,I,25,3,
CSA,7,50,II,25,3,
CSA,7,50,III,25,2,
CSA,7,55,I,25,1,
CSA,7,55,II,25,2,
CSA,7,55,III,25,3,
CSA,7,60,I,25,0,
CSA,7,60,II,25,1,
CSA,7,60,III,25,1,
CSA,7,65,I,25,4,
CSA,7,65,II,25,3,
CSA,7,65,III,25,2,
CSA,7,70,I,25,6,
CSA,7,70,II,25,6,
CSA,7,70,III,25,7,
CSA,7,75,I,25,12,
CSA,7,75,II,25,14,
CSA,7,75,III,25,8,
CSA,7,80,I,25,9,
CSA,7,80,II,25,15,
CSA,7,80,III,25,12,
CSA,7,85,I,25,14,
CSA,7,85,II,25,15,
CSA,7,85,III,25,15,
CSA,7,90,I,25,18,
CSA,7,90,II,25,17,
CSA,7,90,III,25,17,1
CSA,7,95,I,25,24,
CSA,7,95,II,25,20,
CSA,7,95,III,25,14,
CSA,7,100,I,25,23,
CSA,7,100,II,25,14,
CSA,7,100,III,25,17,
CSA,7,105,I,25,23,
CSA,7,105,II,25,20,
CSA,7,105,III,25,20,
CSA,7,110,I,25,19,
CSA,7,110,II,25,16,
CSA,7,110,III,25,20,
CSA,7,115,I,25,10,
CSA,7,115,II,25,20,
